Date,Open,High,Low,Close,Volume
2023-02-01,23125.13,23168.9,22997.1,23085.73,12121.64019
2023-02-02,23731.41,24255,23690.02,24189.85,26407.16074
2023-02-03,23489.33,23585.04,23436.06,23552.89,12175.93159
2023-02-04,23431.9,23465.15,23382.01,23411.3,7788.02404
2023-02-05,23327.66,23371.99,23230,23291,9671.24209
2023-02-06,22932.91,23094.92,22918.61,23054.44,8422.82634
2023-02-07,22762.52,22826.03,22745.78,22795.13,8801.75203
2023-02-08,23242.42,23361.64,23228.83,23326.4,12408.87974
2023-02-09,22961.85,23011.39,22926.35,22980.64,9134.9064
2023-02-10,21797.83,21880.18,21756,21824.09,13868.09593
2023-02-11,21625.19,21691.63,21599.78,21657.62,10020.42535
2023-02-12,21862.02,21890.16,21803,21816.37,7118.92695
2023-02-13,21782.37,21876.43,21689.66,21811.28,12562.14811
2023-02-14,21774.63,21816.62,21729.74,21737.95,9646.12927
2023-02-15,22199.84,22200.88,22105,22149.74,10145.2916
2023-02-16,24322.87,24905,24278.58,24583.17,27499.73717
2023-02-17,23517.72,23778.22,23339.37,23713.37,31282.73281
2023-02-18,24568.24,24787.5,24533.54,24632.74,14048.10305
2023-02-19,24632.05,24764.85,24622.18,24739.25,7487.83417
2023-02-20,24272.51,24411.52,24141.3,24211.07,13777.41155
2023-02-21,24843.89,24940,24781.5,24858.6,9572.17147
2023-02-22,24450.67,24476.05,24264.27,24412.47,11361.56035
2023-02-23,24182.21,24246.06,24124.33,24129.22,10161.68644
2023-02-24,23940.2,24022.87,23890,23958.71,9447.10151
2023-02-25,23184.04,23203.93,23108.77,23165.61,7550.43072
2023-02-26,23157.07,23166.91,23080.09,23097.97,5757.9461
2023-02-27,23554.85,23567.69,23451.66,23492.64,7993.6986
2023-02-28,23492.09,23549.99,23409.79,23420.55,8213.50429
2023-03-01,23141.57,23219.99,23020.03,23101,12736.94918
2023-03-02,23629.76,23796.93,23595.11,23606.95,12203.50378
2023-03-03,23465.32,23476.95,23398.85,23418.5,5032.12995
2023-03-04,22354.34,22392.17,22330.01,22368.49,5359.40241
2023-03-05,22346.57,22389.32,22313.41,22379.25,5458.32443
2023-03-06,22430.24,22470.08,22361.43,22446.48,6995.2835
2023-03-07,22409.41,22428,22377.69,22415.92,6254.62047
2023-03-08,22198.56,22287,22190.32,22245.86,9321.72502
2023-03-09,21704.37,21765.15,21675.4,21719.42,10551.56996
2023-03-10,20362.21,20367.78,20022,20120.27,31664.01722
2023-03-11,20150.69,20301.79,20135.05,20216.03,22331.05908
2023-03-12,20455.73,20502.46,20342.69,20453.41,17296.3167
2023-03-13,21998.05,22600,21860.74,22446.02,46825.16252
2023-03-14,24112.27,24249.8,23986.02,24166.31,20419.04669
2023-03-15,24670.41,24742.29,24284.6,24720.06,25683.67851
2023-03-16,24285.66,24384.12,24144.87,24202.64,16691.21973
2023-03-17,24998.78,25002.61,24890,24918.14,10867.65841
2023-03-18,27395.13,27652.61,27060,27627.51,28691.34464
2023-03-19,26907.49,27125.94,26901.02,27077.54,13336.76728
2023-03-20,27972.87,28057.44,27779.65,27825.47,16809.29216
2023-03-21,27717.01,27953.33,27664.51,27850.21,15105.73382
2023-03-22,28107.81,28117.25,27945.44,28028.91,14331.12351
2023-03-23,27250.97,27428.69,27195.63,27322.28,4717.70531
2023-03-24,28295.42,28374.3,28182.02,28195.3,2887.21044
2023-03-25,27454.46,27586,27425.19,27556.35,2102.7941
2023-03-26,27462.96,27630.32,27417.76,27531.28,1997.79617
2023-03-27,27968.05,28023.86,27917.16,27994.28,1929.36281
2023-03-28,27124.9,27160,26936,26960.92,3533.32954
2023-03-29,27261.06,27340,27240.1,27268.73,1699.06156
2023-03-30,28348.6,28457.48,28235.25,28328.47,2063.78277
2023-03-31,28028.53,28338.34,27916.34,28249.17,4149.4121
2023-04-01,28465.36,28547.2,28408.57,28438.27,1524.81719
2023-04-02,28452.74,28499.99,28355,28366.3,914.79254
2023-04-03,28171.87,28182.17,28064.52,28114.62,1119.79625
2023-04-04,27800,27868.31,27662.79,27760.58,2374.60259
2023-04-05,28165.47,28733,28099.68,28661.81,6158.2642
2023-04-06,28170.01,28182.05,27918.35,27999.15,2192.36011
2023-04-07,28033.83,28100,27998.04,28097.99,896.12527
2023-04-08,27906.34,27919.61,27859.02,27880.27,899.14307
2023-04-09,27938.38,28075,27924.9,28036.76,1092.06788
2023-04-10,28323.76,28425.43,28285.61,28381.25,1741.16374
2023-04-11,29637.35,29990,29590,29928.86,5294.26591
2023-04-12,30200.43,30350.07,30193.67,30224.78,1803.85075
2023-04-13,29888.07,30035.28,29854.59,29984.69,1441.58145
2023-04-14,30373.84,30799.61,30310.03,30745.73,6387.55449
2023-04-15,30466.93,30595.6,30372.48,30372.48,2000.69786
2023-04-16,30295.1,30319.04,30270.11,30277.54,603.52064
2023-04-17,30304.66,30316.06,29790.01,29842.86,6333.0212
2023-04-18,29430.27,29450.29,29280.01,29364.16,1357.21158
2023-04-19,30380.01,30413.53,30282.95,30319.25,1436.64071
2023-04-20,28797.1,28965.99,28650.58,28920.01,3614.1302
2023-04-21,28243.65,28374.02,28090,28291.26,3415.68342
2023-04-22,27262.84,27331.99,27217.16,27225.08,1442.87947
2023-04-23,27816.85,27816.85,27415.56,27541.8,2501.3931
2023-04-24,27590.59,27871.69,27427.3,27807.49,2569.36143
2023-04-25,27510.93,27590.28,27432.01,27459.04,1950.66514
2023-04-26,28300.8,28481,28266.17,28299.63,3774.55591
2023-04-27,28415.29,29480.5,28378.86,29225.54,10429.77342
2023-04-28,29472.77,29563.01,29354.23,29554.25,2786.01141
2023-04-29,29311.69,29400,29195.58,29262.02,1261.41857
2023-04-30,29230.45,29230.49,29120.43,29136,523.0232
2023-05-01,29233.2,29337.34,29215.93,29315.57,1884.84043
2023-05-02,28068.26,28145.6,27978.11,28050.42,1830.29425
2023-05-03,28669.85,28689.35,28488.17,28503.72,2005.37832
2023-05-04,29026.16,29104.27,28950.98,29043.94,1804.91666
2023-05-05,28838.16,28961.21,28819.77,28937.63,1340.11631
2023-05-06,29505.6,29820,29475.37,29671.11,2876.15709
2023-05-07,28848.19,28956.3,28791.85,28942.72,1392.95929
2023-05-08,28430.09,28631.01,28357.7,28572.17,3090.48598
2023-05-09,27668.8,27668.89,27534.55,27578.26,1189.99499
2023-05-10,27628.28,27786.01,27620.19,27747.06,1554.71882
2023-05-11,27598.74,27622.68,27426.99,27515.09,1631.16638
2023-05-12,26968.61,27042.96,26922.54,27033.78,1095.41646
2023-05-13,26795.01,26850,26692.03,26838.99,1272.65293
2023-05-14,26775.27,26811.65,26560.53,26741.31,1590.47799
2023-05-15,26917.61,26931.24,26726,26800.25,2062.76348
2023-05-16,27162.15,27296.89,27082.99,27205.57,1477.27659
2023-05-17,27033.85,27115,26982.93,27098.59,983.05573
2023-05-18,27405.62,27485.33,27354.15,27357.42,1554.65732
2023-05-19,26821.28,26929.04,26799.28,26885.47,858.88397
2023-05-20,26880.26,26908.42,26825.11,26845.71,564.98609
2023-05-21,27102.42,27277.55,27063.09,27237.75,1460.27722
2023-05-22,26747.78,26779.54,26549.29,26656.11,1814.57122
2023-05-23,26849.28,26936.58,26798.11,26822.33,824.15766
2023-05-24,27219.61,27219.61,27124.91,27156.7,803.33097
2023-05-25,26329,26394.37,26197.12,26236.47,1510.80228
2023-05-26,26473.8,26505.24,26384.36,26469.93,1100.64504
2023-05-27,26705.93,26713.4,26633,26651.92,757.05421
2023-05-28,26854.28,27119.5,26764.36,27072.42,2783.3021
2023-05-29,28065.01,28447.14,28065,28192.53,5865.77291
2023-05-30,27736.39,27768.15,27584.45,27709.55,1142.62432
2023-05-31,27694.39,27757.42,27657.99,27754.78,653.06905
2023-06-01,27210.36,27350,27023.35,27065.77,2772.82443
2023-06-02,26817.93,26824.64,26505,26786.03,3258.7619
2023-06-03,27242.59,27242.6,27152.2,27165.09,678.25975
2023-06-04,27069.22,27069.23,27001.59,27005.13,492.5209
2023-06-05,27115.2,27129.33,26966,27024.76,1770.73298
2023-06-06,25728.2,25756.34,25675.26,25690.89,1829.55213
2023-06-07,27230.07,27391.77,27163.06,27179.8,2992.02834
2023-06-08,26339.34,26440.49,26305.11,26390.01,1503.99009
2023-06-09,26498.62,26509.72,26430,26456.95,935.16043
2023-06-10,26477.8,26487.26,26450,26459.99,665.29959
2023-06-11,25841.22,25850,25730.86,25750.28,1006.26589
2023-06-12,25925.54,26028.5,25856.84,25965.13,1363.72265
2023-06-13,25905.2,26033.91,25820,25868.89,1834.85547
2023-06-14,25934.24,26030,25911.6,25989.72,1127.65179
2023-06-15,25128.6,25206.52,25084.26,25206.51,1307.44938
2023-06-16,25598.49,25598.49,25440.39,25496.59,1526.44363
2023-06-17,26345.01,26372.4,26313.11,26313.11,974.86014
2023-06-18,26516.99,26539.61,26378.98,26453.96,1331.58288
2023-06-19,26339.98,26400,26256.61,26366.1,1243.35086
2023-06-20,26844.35,27031.49,26798.68,26982.28,2080.97523
2023-06-21,28308,28490.35,28257.99,28414,4203.05172
2023-06-22,29993.89,30245.51,29891.15,30139.48,3300.88077
2023-06-23,29884.92,30054,29875.92,30010,1972.80262
2023-06-24,30688.51,30694.16,30459.32,30488.2,1984.0343
2023-06-25,30527.44,30582,30465.41,30513.23,788.33252
2023-06-26,30462.67,30550,30391.75,30394.89,1453.76516
2023-06-27,30267.99,30381.21,30226.17,30354.02,1243.43295
2023-06-28,30692.44,30709.74,30460.56,30614,1933.84626
2023-06-29,30077.4,30177.7,30049.98,30079.99,1078.66655
2023-06-30,30447.31,30511.38,30400,30441.34,861.90389
2023-07-01,30471.99,30534.74,30420,30469.83,1244.96393
2023-07-02,30585.9,30649.99,30548,30575.77,816.85629
2023-07-03,30617.02,30688.75,30587.77,30637.99,858.91789
2023-07-04,31156.2,31187.74,31096.48,31112.86,908.49357
2023-07-05,30766.52,30843.31,30752,30762.27,850.91505
2023-07-06,30504.8,30531.25,30390,30413.1,810.40827
2023-07-07,29895.42,30104.22,29701.02,30052.6,4705.09225
2023-07-08,30344.7,30344.71,30275,30286.29,526.47425
2023-07-09,30284.63,30349.18,30246.47,30336.01,668.1137
2023-07-10,30160.71,30227.03,29950,30090.27,2988.80152
2023-07-11,30411.57,30508.05,30363.29,30419.99,1541.27796
2023-07-12,30622.1,30630,30500.76,30509.98,1389.62467
2023-07-13,30380,30433.25,30339.62,30353.51,919.62389
2023-07-14,31454.23,31518.94,31361.68,31444.01,3328.55991
2023-07-15,30312,30328.77,30200,30328.76,1320.89567
2023-07-16,30289.52,30307.99,30273.99,30299.99,306.9358
2023-07-17,30232,30312,30176.03,30213.99,684.31951
2023-07-18,30138.01,30194,30105.55,30168.01,677.7782
