Date,B,A,ratio,Price,Open,High,Low,Vol.,Change %,kimchi_premium
2019-12-12,8422000,7210.0,1168.0998613037448,"1,171.89",1189.61,"1,192.16","1,170.51",,-1.41%,-0.018081672729932552
2019-12-13,8465000,7197.76,1176.0603298804072,"1,175.57",1172.89,"1,179.03","1,168.32",,0.31%,0.0027030070001510254
2019-12-16,8255000,7119.6,1159.4752514186189,"1,167.48",1176.8,"1,177.55","1,167.56",,-0.69%,-0.01472191415820956
2019-12-17,8019000,6891.44,1163.6174732711886,"1,163.15",1168.48,"1,170.60","1,162.17",,-0.37%,-0.004161412029997424
2019-12-18,7746000,6623.84,1169.4123046450395,"1,166.57",1164.15,"1,169.70","1,162.46",,0.29%,0.004520297766644754
2019-12-19,8259000,7277.83,1134.8162845243703,"1,162.27",1166.71,"1,168.10","1,162.31",,-0.37%,-0.027336455053637798
2019-12-20,8296000,7151.31,1160.067176503326,"1,158.99",1163.27,"1,165.87","1,158.16",,-0.28%,-0.0027532932996415793
2019-12-23,8722000,7500.71,1162.8232527320747,"1,163.04",1159.39,"1,164.90","1,159.04",,0.35%,0.0029612578442754778
2019-12-24,8555000,7317.3,1169.1470897735503,"1,162.52",1164.04,"1,166.10","1,160.35",,-0.04%,0.004387383400527689
2019-12-25,8450000,7255.77,1164.5903880635688,"1,159.76",1163.52,"1,163.81","1,160.71",,-0.24%,0.000919956737803096
2019-12-26,8392000,7205.01,1164.7450870991156,"1,161.30",1160.76,"1,163.52","1,159.65",,0.13%,0.00343317059436532
2019-12-27,8335000,7202.0,1157.3174118300471,"1,158.95",1162.33,"1,162.79","1,158.12",,-0.20%,-0.004312534452309391
2019-12-30,8481000,7388.43,1147.8758004068522,"1,156.97",1160.7,"1,161.03","1,154.48",,-0.17%,-0.011048677171661803
2019-12-31,8325000,7246.0,1148.909743306652,"1,154.07",1157.97,"1,159.00","1,152.94",,-0.25%,-0.007824258567448283
2020-01-01,8311000,7195.24,1155.069184627615,"1,154.02",1155.07,"1,155.32","1,154.08",,0.00%,-7.059073345860867e-07
2020-01-02,8243000,7200.77,1144.7386876681244,"1,157.35",1155.02,"1,161.15","1,153.48",,0.29%,-0.008901414981451028
2020-01-03,8399000,6965.49,1205.8017454622718,"1,164.95",1157.94,"1,168.83","1,155.70",,0.66%,0.04133352804313839
2020-01-06,8678000,7357.64,1179.4542815359273,"1,166.94",1165.89,"1,172.99","1,165.78",,0.17%,0.011634272131956891
2020-01-07,9038000,7758.9,1164.855842967431,"1,167.30",1167.54,"1,168.82","1,163.11",,0.03%,-0.002298985073375559
2020-01-08,9559000,8145.92,1173.4708909490887,"1,162.25",1168.3,"1,179.67","1,160.50",,-0.43%,0.004425995847888942
2020-01-09,9041000,8054.72,1122.4474593778557,"1,158.72",1162.49,"1,163.55","1,157.41",,-0.30%,-0.03444549253941476
2020-01-10,8778000,7817.74,1122.830894862198,"1,157.97",1159.73,"1,164.16","1,157.55",,-0.06%,-0.03181697907081993
2020-01-13,9194000,8184.97,1123.2783993099547,"1,153.95",1158.92,"1,159.57","1,153.13",,-0.35%,-0.030754151011325503
2020-01-14,9539000,8110.34,1176.1529109753722,"1,157.20",1154.95,"1,159.66","1,150.30",,0.28%,0.018358293411292248
2020-01-15,9649000,8814.64,1094.6561629289456,"1,157.91",1158.2,"1,162.80","1,155.85",,0.06%,-0.05486430415390642
2020-01-16,9715000,8820.01,1101.472674067263,"1,159.73",1158.91,"1,161.97","1,156.50",,0.16%,-0.049561506875199224
2020-01-17,10096000,8720.15,1157.7782492273643,"1,160.44",1160.73,"1,161.93","1,155.97",,0.06%,-0.002543012391026056
2020-01-20,9874000,8701.72,1134.718193644475,"1,158.61",1161.46,"1,162.20","1,155.87",,-0.16%,-0.023024302477506864
2020-01-21,9884000,8642.35,1143.6704137184909,"1,169.01",1159.61,"1,170.77","1,157.94",,0.90%,-0.013745644036796012
2020-01-22,9946000,8736.04,1138.5021130855628,"1,164.76",1170.01,"1,170.20","1,162.02",,-0.36%,-0.02692958770817111
2020-01-23,9795000,8682.77,1128.096218142367,"1,168.54",1165.76,"1,170.77","1,164.29",,0.32%,-0.03230834979552655
2020-01-24,9700000,8404.52,1154.14086705725,"1,169.20",1168.6,"1,171.06","1,166.02",,0.06%,-0.012373038629770572
2020-01-27,9982000,8614.39,1158.758774562099,"1,176.70",1170.24,"1,179.71","1,170.09",,0.64%,-0.009811000681826831
2020-01-28,10248000,8907.57,1150.482118018719,"1,175.71",1177.7,"1,181.88","1,174.96",,-0.08%,-0.023111048638261966
2020-01-29,10674000,9375.34,1138.5187097214607,"1,178.68",1176.21,"1,180.43","1,173.73",,0.25%,-0.03204469463662041
2020-01-30,10662000,9301.57,1146.2581048145637,"1,187.64",1179.68,"1,193.67","1,178.22",,0.76%,-0.02833132305831787
2020-01-31,10741000,9511.52,1129.262199942806,"1,194.97",1188.64,"1,198.55","1,183.88",,0.62%,-0.04995440171725163
2020-02-03,10826000,9331.59,1160.145269991502,"1,189.79",1195.96,"1,199.44","1,190.17",,-0.43%,-0.02994642798128544
2020-02-04,10687000,9291.35,1150.2096035559955,"1,182.90",1190.81,"1,194.28","1,183.24",,-0.58%,-0.034094772838659804
2020-02-05,10704000,9197.02,1163.855248765361,"1,183.40",1183.9,"1,192.90","1,180.18",,0.04%,-0.016931118535889023
2020-02-06,11112000,9612.03,1156.051323185633,"1,185.28",1184.4,"1,186.77","1,177.71",,0.16%,-0.023935053034757736
2020-02-07,11439000,9772.0,1170.589439214081,"1,191.39",1186.28,"1,196.29","1,184.72",,0.52%,-0.013226692505916793
2020-02-10,11620000,10151.72,1144.6336187365291,"1,187.17",1192.39,"1,194.50","1,185.33",,-0.35%,-0.040050974315006815
2020-02-11,11412000,9851.74,1158.3740537204596,"1,181.25",1188.17,"1,188.57","1,180.42",,-0.50%,-0.025077174377017064
2020-02-12,11805000,10223.08,1154.7400587689815,"1,178.51",1182.29,"1,184.21","1,176.06",,-0.23%,-0.023302185784383256
2020-02-13,11717000,10325.33,1134.782132871298,"1,183.58",1179.51,"1,185.02","1,178.24",,0.43%,-0.03792071888216464
2020-02-14,11765000,10227.78,1150.2985007499185,"1,182.46",1184.59,"1,185.85","1,180.48",,-0.09%,-0.028947989810889307
2020-02-17,11493000,9910.7,1159.6557256298747,"1,185.25",1183.44,"1,185.88","1,179.19",,0.24%,-0.02009757517924471
2020-02-18,11489000,9706.0,1183.7008036266227,"1,190.95",1185.38,"1,192.48","1,184.28",,0.48%,-0.0014165890882058552
2020-02-19,11875000,10164.78,1168.2495833653063,"1,192.50",1191.05,"1,193.90","1,187.50",,0.13%,-0.01914312298786247
2020-02-20,11463000,9594.65,1194.728312132282,"1,204.71",1193.0,"1,208.99","1,191.42",,1.02%,0.001448710923958263
2020-02-21,11531000,9597.21,1201.4950178228885,"1,206.91",1205.21,"1,215.27","1,202.94",,0.18%,-0.003082435573146247
2020-02-24,11654000,9936.4,1172.8593856930077,"1,219.08",1206.97,"1,222.96","1,206.97",,1.01%,-0.028261360520139167
2020-02-25,11489000,9655.52,1189.8893068420964,"1,215.54",1219.17,"1,220.33","1,208.84",,-0.29%,-0.024016907533734977
2020-02-26,11172000,9316.48,1199.165350003435,"1,212.31",1216.04,"1,220.63","1,211.83",,-0.27%,-0.013876722802346197
2020-02-27,10692000,8786.0,1216.9360346005008,"1,212.63",1212.81,"1,218.82","1,206.76",,0.03%,0.0034020453331526923
2020-02-28,10522000,8823.25,1192.531096818066,"1,200.20",1212.68,"1,218.56","1,199.59",,-1.03%,-0.016615185524568754
2020-03-02,10428000,8530.3,1222.4657983892712,"1,189.61",1200.21,"1,207.63","1,188.56",,-0.88%,0.018543253588348074
2020-03-03,10531000,8911.18,1181.7739064860098,"1,180.50",1189.71,"1,196.21","1,178.81",,-0.77%,-0.006670611757478961
2020-03-04,10512000,8760.07,1199.9904110355285,"1,184.73",1181.0,"1,188.98","1,181.00",,0.36%,0.01607994160501991
2020-03-05,10601000,8750.99,1211.4057952300254,"1,188.72",1185.23,"1,193.08","1,179.84",,0.34%,0.02208499213656867
2020-03-06,10827000,9054.64,1195.740526404142,"1,188.70",1188.82,"1,194.72","1,184.96",,0.00%,0.005821340828840338
2020-03-09,9799000,8034.76,1219.5759425297083,"1,200.88",1188.7,"1,206.60","1,188.60",,1.02%,0.02597454574720981
