datetime,symbol,open,high,low,close,volume
2017-02-20 09:00:00,BITSTAMP:BTCUSD,1051.8,1220.0,1044.39,1179.05,64898.33535486
2017-02-27 09:00:00,BITSTAMP:BTCUSD,1180.46,1298.0,1169.0,1273.0,41646.79528272
2017-03-06 09:00:00,BITSTAMP:BTCUSD,1269.98,1350.0,975.0,1226.62,86539.53241125
2017-03-13 09:00:00,BITSTAMP:BTCUSD,1226.42,1260.0,944.36,1017.97,78732.98939892
2017-03-20 09:00:00,BITSTAMP:BTCUSD,1012.88,1117.9,891.33,960.0,77470.53548879
2017-03-27 09:00:00,BITSTAMP:BTCUSD,959.08,1100.0,952.95,1078.01,60680.03660101
2017-04-03 09:00:00,BITSTAMP:BTCUSD,1076.59,1216.87,1076.19,1206.2,46207.07742554
2017-04-10 09:00:00,BITSTAMP:BTCUSD,1205.2,1229.0,1141.0,1162.31,31268.6115208
2017-04-17 09:00:00,BITSTAMP:BTCUSD,1162.31,1252.32,1161.0,1241.99,32950.74663674
2017-04-24 09:00:00,BITSTAMP:BTCUSD,1242.0,1356.0,1234.0,1350.21,39411.95591813
2017-05-01 09:00:00,BITSTAMP:BTCUSD,1348.88,1623.01,1341.22,1554.01,79409.84428198
2017-05-08 09:00:00,BITSTAMP:BTCUSD,1554.38,1892.0,1554.38,1784.0,94671.97949056
2017-05-15 09:00:00,BITSTAMP:BTCUSD,1782.3,2063.11,1641.22,2017.55,93126.14311167
2017-05-22 09:00:00,BITSTAMP:BTCUSD,2017.55,2760.1,1850.0,2178.81,155768.45194677
2017-05-29 09:00:00,BITSTAMP:BTCUSD,2172.54,2584.34,2110.0,2530.27,93043.44403407
2017-06-05 09:00:00,BITSTAMP:BTCUSD,2530.27,2967.46,2525.28,2954.22,93979.26297278
2017-06-12 09:00:00,BITSTAMP:BTCUSD,2954.23,2980.0,2120.0,2516.98,148795.7937454
2017-06-19 09:00:00,BITSTAMP:BTCUSD,2516.98,2789.0,2432.0,2502.03,84989.14520239
2017-06-26 09:00:00,BITSTAMP:BTCUSD,2502.26,2594.78,2291.0,2504.37,88202.38791121
2017-07-03 09:00:00,BITSTAMP:BTCUSD,2504.81,2639.47,2462.0,2502.28,59904.36464813
2017-07-10 09:00:00,BITSTAMP:BTCUSD,2504.0,2527.88,1830.0,1917.63,114603.96642806
2017-07-17 09:00:00,BITSTAMP:BTCUSD,1917.72,2938.0,1910.57,2749.02,144460.87969896
2017-07-24 09:00:00,BITSTAMP:BTCUSD,2756.8,2825.0,2400.0,2742.37,95398.49285979
2017-07-31 09:00:00,BITSTAMP:BTCUSD,2745.76,3339.66,2615.0,3222.75,70478.58583209
2017-08-07 09:00:00,BITSTAMP:BTCUSD,3216.78,4190.0,3178.72,4053.87,91259.76614428
2017-08-14 09:00:00,BITSTAMP:BTCUSD,4053.87,4480.0,3800.0,4058.68,106015.99573945
2017-08-21 09:00:00,BITSTAMP:BTCUSD,4058.64,4449.98,3600.0,4337.68,79305.31569954
2017-08-28 09:00:00,BITSTAMP:BTCUSD,4329.91,4979.9,4169.01,4606.26,81722.33065185
2017-09-04 09:00:00,BITSTAMP:BTCUSD,4603.68,4679.97,4001.93,4226.22,120234.19455683
2017-09-11 09:00:00,BITSTAMP:BTCUSD,4226.21,4377.65,2972.01,3662.99,190649.19788805
2017-09-18 09:00:00,BITSTAMP:BTCUSD,3662.95,4122.7,3514.0,3664.22,93688.94717086
2017-09-25 09:00:00,BITSTAMP:BTCUSD,3667.01,4377.22,3658.39,4377.22,76596.22231939
2017-10-02 09:00:00,BITSTAMP:BTCUSD,4369.33,4612.0,4137.96,4597.98,60774.35123881
2017-10-09 09:00:00,BITSTAMP:BTCUSD,4597.97,5846.43,4541.0,5679.7,102154.07757071
2017-10-16 09:00:00,BITSTAMP:BTCUSD,5683.92,6180.0,5101.36,5969.0,89751.55898138
2017-10-23 09:00:00,BITSTAMP:BTCUSD,5967.38,6316.85,5366.0,6137.37,90679.39483727
2017-10-30 09:00:00,BITSTAMP:BTCUSD,6133.01,7590.0,6024.03,7372.72,96898.05082758
2017-11-06 09:00:00,BITSTAMP:BTCUSD,7373.3,7888.0,5555.55,5870.37,149308.51562305
2017-11-13 09:00:00,BITSTAMP:BTCUSD,5870.03,8087.35,5846.0,8016.58,108764.32010924
2017-11-20 09:00:00,BITSTAMP:BTCUSD,8016.58,9366.6,7770.0,9271.06,70679.2142902
2017-11-27 09:00:00,BITSTAMP:BTCUSD,9278.99,11800.01,9000.0,11250.0,123566.89997717
2017-12-04 09:00:00,BITSTAMP:BTCUSD,11250.0,16666.66,10850.0,14691.0,131326.74450438
2017-12-11 09:00:00,BITSTAMP:BTCUSD,14690.99,19666.0,14677.19,18953.0,99156.70350496
2017-12-18 09:00:00,BITSTAMP:BTCUSD,18953.0,19220.0,11159.93,14157.87,185506.94820202
2017-12-25 09:00:00,BITSTAMP:BTCUSD,14107.87,16480.52,12050.0,13880.0,105655.47664079
2018-01-01 09:00:00,BITSTAMP:BTCUSD,13880.0,17234.99,12801.38,16124.02,85618.44777872
2018-01-08 09:00:00,BITSTAMP:BTCUSD,16173.98,16300.0,12800.0,13647.99,97200.21280593
2018-01-15 09:00:00,BITSTAMP:BTCUSD,13647.99,14394.36,9222.0,11558.87,146905.07956877
2018-01-22 09:00:00,BITSTAMP:BTCUSD,11558.87,11989.15,9927.54,11685.58,91513.06537417
2018-01-29 09:00:00,BITSTAMP:BTCUSD,11685.58,11820.01,7625.25,8191.0,149903.6314201
2018-02-05 09:00:00,BITSTAMP:BTCUSD,8190.78,9090.8,5920.72,8067.0,218693.54381938
2018-02-12 09:00:00,BITSTAMP:BTCUSD,8077.25,11300.0,8067.0,10421.06,108881.53022749
2018-02-19 09:00:00,BITSTAMP:BTCUSD,10433.68,11780.0,9260.0,9590.04,108623.50575305
2018-02-26 09:00:00,BITSTAMP:BTCUSD,9595.99,11511.0,9376.34,11463.27,69483.63177713
2018-03-05 09:00:00,BITSTAMP:BTCUSD,11479.68,11688.0,8366.0,9535.04,131615.3328438
2018-03-12 09:00:00,BITSTAMP:BTCUSD,9535.04,9892.0,7325.37,8188.24,122425.7834206
2018-03-19 09:00:00,BITSTAMP:BTCUSD,8205.55,9188.1,8114.17,8453.9,90177.221052
2018-03-26 09:00:00,BITSTAMP:BTCUSD,8451.12,8500.0,6427.16,6813.52,119382.4103937
2018-04-02 09:00:00,BITSTAMP:BTCUSD,6816.31,7506.84,6510.0,7027.26,77901.59809296
2018-04-09 09:00:00,BITSTAMP:BTCUSD,7027.26,8417.0,6611.49,8354.22,77527.21424147
2018-04-16 09:00:00,BITSTAMP:BTCUSD,8353.43,9036.52,7806.81,8789.96,79550.1874566
2018-04-23 09:00:00,BITSTAMP:BTCUSD,8781.7,9755.53,8647.29,9393.99,121700.1351529
2018-04-30 09:00:00,BITSTAMP:BTCUSD,9396.32,9948.98,8815.91,9623.54,65354.66076284
2018-05-07 09:00:00,BITSTAMP:BTCUSD,9621.99,9634.5,8208.81,8696.58,93852.55148299
2018-05-14 09:00:00,BITSTAMP:BTCUSD,8696.54,8900.9,7929.53,8518.48,68487.69967444
2018-05-21 09:00:00,BITSTAMP:BTCUSD,8518.64,8589.1,7213.09,7347.39,61787.16583119
2018-05-28 09:00:00,BITSTAMP:BTCUSD,7348.64,7790.69,7026.9,7703.67,49415.23280809
2018-06-04 09:00:00,BITSTAMP:BTCUSD,7712.97,7764.44,6627.7,6781.17,53345.05560891
2018-06-11 09:00:00,BITSTAMP:BTCUSD,6781.17,6919.97,6120.0,6453.41,67121.74696301
2018-06-18 09:00:00,BITSTAMP:BTCUSD,6451.03,6841.81,5780.0,6153.4,55968.55692368
2018-06-25 09:00:00,BITSTAMP:BTCUSD,6153.6,6510.0,5774.72,6349.99,56900.77190439
2018-07-02 09:00:00,BITSTAMP:BTCUSD,6345.48,6820.0,6270.69,6706.6,44562.95908188
2018-07-09 09:00:00,BITSTAMP:BTCUSD,6706.6,6814.72,6072.0,6349.3,42533.16345144
2018-07-16 09:00:00,BITSTAMP:BTCUSD,6353.25,7696.88,6333.63,7396.6,62789.82410927
